Day,Fan1,Fan2,Light1,Light2,AC,Fridge,WashingMachine,TV,Total_kWh
1,7,6,6,6,3,24,1,2,9.99
2,5,6,6,5,0,24,0,2,4.83
3,6,4,7,3,1,24,0,2,6.24
4,7,5,7,6,1,24,0,5,6.8
5,4,2,4,4,0,24,0,1,4.3
6,8,6,6,5,6,24,0,4,14.28
7,6,6,7,5,5,24,0,1,12.3
8,5,2,5,4,5,24,1,3,12.63
9,8,4,4,6,6,24,0,1,13.76
10,7,5,6,3,6,24,0,1,13.74
11,6,6,5,3,2,24,0,4,8.08
12,6,2,7,3,4,24,0,3,10.72
13,8,3,4,4,4,24,0,2,10.77
14,5,2,6,5,2,24,0,2,7.55
15,7,2,5,3,5,24,1,3,12.75
16,6,3,6,3,0,24,1,2,5.15
17,4,5,4,3,5,24,0,4,12.35
18,5,2,7,5,1,24,0,5,6.43
19,7,5,7,4,0,24,0,3,5.02
20,8,5,4,4,0,24,0,5,5.27
21,4,6,5,6,3,24,0,5,9.62
22,8,4,4,5,2,24,1,5,8.72
23,6,5,6,6,0,24,0,3,4.97
24,7,6,6,3,4,24,0,3,11.05
25,4,6,5,3,0,24,0,4,4.94
26,4,6,7,6,5,24,0,5,12.66
27,5,5,5,4,3,24,0,5,9.58
28,8,6,6,6,3,24,0,3,9.68
29,5,6,7,6,4,24,1,3,11.49
30,8,3,7,6,2,24,0,1,7.75
